"","date","target","insult","tweet"
"4077","2018-06-08","trade-pacts","unfair","Looking forward to straightening out unfair Trade Deals with the G-7 countries. If it doesn’t happen, we come out even better!"
"4078","2018-06-08","nancy-pelosi","did NOTHING about North Korea","Obama, Schumer and Pelosi did NOTHING about North Korea, and now weak on Crime, High Tax Schumer is telling me what to do at the Summit the Dems could never set up. Schumer failed with North Korea and Iran, we don’t need his advice!"
"4079","2018-06-08","barack-obama","did NOTHING about North Korea","Obama, Schumer and Pelosi did NOTHING about North Korea, and now weak on Crime, High Tax Schumer is telling me what to do at the Summit the Dems could never set up. Schumer failed with North Korea and Iran, we don’t need his advice!"
"4080","2018-06-08","chuck-schumer","did NOTHING about North Korea","Obama, Schumer and Pelosi did NOTHING about North Korea, and now weak on Crime, High Tax Schumer is telling me what to do at the Summit the Dems could never set up. Schumer failed with North Korea and Iran, we don’t need his advice!"
"4081","2018-06-08","chuck-schumer","weak on Crime","Obama, Schumer and Pelosi did NOTHING about North Korea, and now weak on Crime, High Tax Schumer is telling me what to do at the Summit the Dems could never set up. Schumer failed with North Korea and Iran, we don’t need his advice!"
"4082","2018-06-08","chuck-schumer","High Tax Schumer","Obama, Schumer and Pelosi did NOTHING about North Korea, and now weak on Crime, High Tax Schumer is telling me what to do at the Summit the Dems could never set up. Schumer failed with North Korea and Iran, we don’t need his advice!"
"4083","2018-06-08","chuck-schumer","failed with North Korea and Iran","Obama, Schumer and Pelosi did NOTHING about North Korea, and now weak on Crime, High Tax Schumer is telling me what to do at the Summit the Dems could never set up. Schumer failed with North Korea and Iran, we don’t need his advice!"
"4084","2018-06-08","chuck-schumer","we don't need his advice!","Obama, Schumer and Pelosi did NOTHING about North Korea, and now weak on Crime, High Tax Schumer is telling me what to do at the Summit the Dems could never set up. Schumer failed with North Korea and Iran, we don’t need his advice!"
"4085","2018-06-09","justin-trudeau","false statements at his news conference","Based on Justin’s false statements at his news conference, and the fact that Canada is charging massive Tariffs to our U.S. farmers, workers and companies, I have instructed our U.S. Reps not to endorse the Communique as we look at Tariffs on automobiles flooding the U.S. Market!"
"4086","2018-06-09","justin-trudeau","acted so meek and mild","PM Justin Trudeau of Canada acted so meek and mild during our @G7 meetings only to give a news conference after I left saying that, “US Tariffs were kind of insulting” and he “will not be pushed around.” Very dishonest & weak. Our Tariffs are in response to his of 270% on dairy!"
"4087","2018-06-09","justin-trudeau","Very dishonest & weak","PM Justin Trudeau of Canada acted so meek and mild during our @G7 meetings only to give a news conference after I left saying that, “US Tariffs were kind of insulting” and he “will not be pushed around.” Very dishonest & weak. Our Tariffs are in response to his of 270% on dairy!"
"4088","2018-06-11","nato","countries that rip us off","....And add to that the fact that the U.S. pays close to the entire cost of NATO-protecting many of these same countries that rip us off on Trade (they pay only a fraction of the cost-and laugh!). The European Union had a $151 Billion Surplus-should pay much more for Military!"
"4089","2018-06-11","justin-trudeau","acts hurt when called out!","Fair Trade is now to be called Fool Trade if it is not Reciprocal. According to a Canada release, they make almost 100 Billion Dollars in Trade with U.S. (guess they were bragging and got caught!). Minimum is 17B. Tax Dairy from us at 270%. Then Justin acts hurt when called out!"
"4090","2018-06-11","trade-pacts","Fool Trade","Fair Trade is now to be called Fool Trade if it is not Reciprocal. According to a Canada release, they make almost 100 Billion Dollars in Trade with U.S. (guess they were bragging and got caught!). Minimum is 17B. Tax Dairy from us at 270%. Then Justin acts hurt when called out!"
"4091","2018-06-12","mark-sanford","has been very unhelpful to me in my campaign to MAGA","Mark Sanford has been very unhelpful to me in my campaign to MAGA. He is MIA and nothing but trouble. He is better off in Argentina. I fully endorse Katie Arrington for Congress in SC, a state I love. She is tough on crime and will continue our fight to lower taxes. VOTE Katie!"
"4092","2018-06-12","mark-sanford","He is MIA and nothing but trouble","Mark Sanford has been very unhelpful to me in my campaign to MAGA. He is MIA and nothing but trouble. He is better off in Argentina. I fully endorse Katie Arrington for Congress in SC, a state I love. She is tough on crime and will continue our fight to lower taxes. VOTE Katie!"
"4093","2018-06-12","mark-sanford","He is better off in Argentina","Mark Sanford has been very unhelpful to me in my campaign to MAGA. He is MIA and nothing but trouble. He is better off in Argentina. I fully endorse Katie Arrington for Congress in SC, a state I love. She is tough on crime and will continue our fight to lower taxes. VOTE Katie!"
"4094","2018-06-13","claire-mccaskill","flew around in a luxurious private jet during her RV tour of the state","Senator Claire McCaskill of the GREAT State of Missouri flew around in a luxurious private jet during her RV tour of the state. RV’s are not for her. People are really upset, so phony! Josh Hawley should win big, and has my full endorsement."
"4095","2018-06-13","claire-mccaskill","so phony!","Senator Claire McCaskill of the GREAT State of Missouri flew around in a luxurious private jet during her RV tour of the state. RV’s are not for her. People are really upset, so phony! Josh Hawley should win big, and has my full endorsement."
"4096","2018-06-13","tim-kaine","a total stiff","Congratulations to Corey Stewart for his great victory for Senator from Virginia. Now he runs against a total stiff, Tim Kaine, who is weak on crime and borders, and wants to raise your taxes through the roof. Don’t underestimate Corey, a major chance of winning!"
"4097","2018-06-13","tim-kaine","weak on crime and borders","Congratulations to Corey Stewart for his great victory for Senator from Virginia. Now he runs against a total stiff, Tim Kaine, who is weak on crime and borders, and wants to raise your taxes through the roof. Don’t underestimate Corey, a major chance of winning!"
"4098","2018-06-13","tim-kaine","wants to raise your taxes through the roof","Congratulations to Corey Stewart for his great victory for Senator from Virginia. Now he runs against a total stiff, Tim Kaine, who is weak on crime and borders, and wants to raise your taxes through the roof. Don’t underestimate Corey, a major chance of winning!"
"4099","2018-06-13","robert-deniro","a very Low IQ individual","Robert De Niro, a very Low IQ individual, has received too many shots to the head by real boxers in movies. I watched him last night and truly believe he may be ‘punch-drunk.’ I guess he doesn’t..."
"4100","2018-06-13","robert-deniro","has received too many shots to the head by real boxers in movies","Robert De Niro, a very Low IQ individual, has received too many shots to the head by real boxers in movies. I watched him last night and truly believe he may be ‘punch-drunk.’ I guess he doesn’t..."
"4101","2018-06-13","robert-deniro","I watched him last night and truly believe he may be ‘punch-drunk’","Robert De Niro, a very Low IQ individual, has received too many shots to the head by real boxers in movies. I watched him last night and truly believe he may be ‘punch-drunk.’ I guess he doesn’t..."
"4102","2018-06-13","robert-deniro","Wake up Punchy!","...realize the economy is the best it’s ever been with employment being at an all time high, and many companies pouring back into our country. Wake up Punchy!"
"4103","2018-06-13","mark-sanford","so bad","My political representatives didn’t want me to get involved in the Mark Sanford primary thinking that Sanford would easily win - but with a few hours left I felt that Katie was such a good candidate, and Sanford was so bad, I had to give it a shot. Congrats to Katie Arrington!"
"4104","2018-06-13","opec","Not good!","Oil prices are too high, OPEC is at it again. Not good!"
"4105","2018-06-13","the-media","Fake News","So funny to watch the Fake News, especially NBC and CNN. They are fighting hard to downplay the deal with North Korea. 500 days ago they would have ‘begged’ for this deal-looked like war would break out. Our Country’s biggest enemy is the Fake News so easily promulgated by fools!"
"4106","2018-06-13","the-media","Our Country’s biggest enemy","So funny to watch the Fake News, especially NBC and CNN. They are fighting hard to downplay the deal with North Korea. 500 days ago they would have ‘begged’ for this deal-looked like war would break out. Our Country’s biggest enemy is the Fake News so easily promulgated by fools!"
"4107","2018-06-13","the-media","easily promulgated by fools!","So funny to watch the Fake News, especially NBC and CNN. They are fighting hard to downplay the deal with North Korea. 500 days ago they would have ‘begged’ for this deal-looked like war would break out. Our Country’s biggest enemy is the Fake News so easily promulgated by fools!"
"4108","2018-06-14","eric-schneiderman","sleazy","The sleazy New York Democrats, and their now disgraced (and run out of town) A.G. Eric Schneiderman, are doing everything they can to sue me on a foundation that took in $18,800,000 and gave out to charity more money than it took in, $19,200,000. I won’t settle this case!..."
"4109","2018-06-14","eric-schneiderman","never had the guts to bring this ridiculous case","....Schneiderman, who ran the Clinton campaign in New York, never had the guts to bring this ridiculous case, which lingered in their office for almost 2 years. Now he resigned his office in disgrace, and his disciples brought it when we would not settle."
"4110","2018-06-14","eric-schneiderman","resigned his office in disgrace","....Schneiderman, who ran the Clinton campaign in New York, never had the guts to bring this ridiculous case, which lingered in their office for almost 2 years. Now he resigned his office in disgrace, and his disciples brought it when we would not settle."
"4111","2018-06-14","new-york-democrats","sleazy","The sleazy New York Democrats, and their now disgraced (and run out of town) A.G. Eric Schneiderman, are doing everything they can to sue me on a foundation that took in $18,800,000 and gave out to charity more money than it took in, $19,200,000. I won’t settle this case!..."
"4112","2018-06-14","trump-russia","Witch Hunt","Now that I am back from Singapore, where we had a great result with respect to North Korea, the thought process must sadly go back to the Witch Hunt, always remembering that there was No Collusion and No Obstruction of the fabricated No Crime."
"4113","2018-06-14","trump-russia","fabricated","Now that I am back from Singapore, where we had a great result with respect to North Korea, the thought process must sadly go back to the Witch Hunt, always remembering that there was No Collusion and No Obstruction of the fabricated No Crime."
"4114","2018-06-14","trump-russia","pile of garbage","So, the Democrats make up a phony crime, Collusion with the Russians, pay a fortune to make the crime sound real, illegally leak (Comey) classified information so that a Special Councel will be appointed, and then Collude to make this pile of garbage take on life in Fake News!"
"4115","2018-06-14","democrats","make up a phony crime","So, the Democrats make up a phony crime, Collusion with the Russians, pay a fortune to make the crime sound real, illegally leak (Comey) classified information so that a Special Councel will be appointed, and then Collude to make this pile of garbage take on life in Fake News!"
"4116","2018-06-14","democrats","pay a fortune to make the crime sound real","So, the Democrats make up a phony crime, Collusion with the Russians, pay a fortune to make the crime sound real, illegally leak (Comey) classified information so that a Special Councel will be appointed, and then Collude to make this pile of garbage take on life in Fake News!"
"4117","2018-06-14","democrats","illegally leak (Comey) classified information","So, the Democrats make up a phony crime, Collusion with the Russians, pay a fortune to make the crime sound real, illegally leak (Comey) classified information so that a Special Councel will be appointed, and then Collude to make this pile of garbage take on life in Fake News!"
"4118","2018-06-14","the-media","Fake News!","So, the Democrats make up a phony crime, Collusion with the Russians, pay a fortune to make the crime sound real, illegally leak (Comey) classified information so that a Special Councel will be appointed, and then Collude to make this pile of garbage take on life in Fake News!"
"4119","2018-06-15","manafort-sentence","Very unfair!","Wow, what a tough sentence for Paul Manafort, who has represented Ronald Reagan, Bob Dole and many other top political people and campaigns. Didn’t know Manafort was the head of the Mob. What about Comey and Crooked Hillary and all of the others? Very unfair!"
"4120","2018-06-15","james-comey","the worst leader, by far, in the history of the FBI","The IG Report is a total disaster for Comey, his minions and sadly, the FBI. Comey will now officially go down as the worst leader, by far, in the history of the FBI. I did a great service to the people in firing him. Good Instincts. Christopher Wray will bring it proudly back!"
"4121","2018-06-15","hillary-clinton","Crooked Hillary","Wow, what a tough sentence for Paul Manafort, who has represented Ronald Reagan, Bob Dole and many other top political people and campaigns. Didn’t know Manafort was the head of the Mob. What about Comey and Crooked Hillary and all of the others? Very unfair!"
"4122","2018-06-15","trump-russia","phony Witch Hunt","I’ve had to beat 17 very talented people including the Bush Dynasty, then I had to beat the Clinton Dynasty, and now I have to beat a phony Witch Hunt and all of the dishonest people covered in the IG Report...and never forget the Fake News Media. It never ends!"
"4123","2018-06-15","democrats","forcing the breakup of families at the Border with their horrible and cruel legislative agenda","The Democrats are forcing the breakup of families at the Border with their horrible and cruel legislative agenda. Any Immigration Bill MUST HAVE full funding for the Wall, end Catch & Release, Visa Lottery and Chain, and go to Merit Based Immigration. Go for it! WIN!"
"4124","2018-06-15","the-media","Fake News","I’ve had to beat 17 very talented people including the Bush Dynasty, then I had to beat the Clinton Dynasty, and now I have to beat a phony Witch Hunt and all of the dishonest people covered in the IG Report...and never forget the Fake News Media. It never ends!"
"4125","2018-06-15","the-media","Fake News","I have a great relationship with Angela Merkel of Germany, but the Fake News Media only shows the bad photos (implying anger) of negotiating an agreement - where I am asking for things that no other American President would ask for! https://t.co/Ib97nN5HZt"
"4126","2018-06-15","the-media","only shows the bad photos","I have a great relationship with Angela Merkel of Germany, but the Fake News Media only shows the bad photos (implying anger) of negotiating an agreement - where I am asking for things that no other American President would ask for! https://t.co/Ib97nN5HZt"
"4127","2018-06-15","the-media","Fake News","The Fake News Media said that I did not get along with other Leaders at the #G7Summit in Canada. They are once again, WRONG! https://t.co/I6eEKEZV6z"
"4128","2018-06-15","the-media","once again, WRONG!","The Fake News Media said that I did not get along with other Leaders at the #G7Summit in Canada. They are once again, WRONG! https://t.co/I6eEKEZV6z"
"4129","2018-06-16","trump-russia","disgraceful Witch Hunt","The IG Report totally destroys James Comey and all of his minions including the great lovers, Peter Strzok and Lisa Page, who started the disgraceful Witch Hunt against so many innocent people. It will go down as a dark and dangerous period in American History!"
"4130","2018-06-16","democrats","Democrats are good at only three things, High Taxes, High Crime and Obstruction","Democrats can fix their forced family breakup at the Border by working with Republicans on new legislation, for a change! This is why we need more Republicans elected in November. Democrats are good at only three things, High Taxes, High Crime and Obstruction. Sad!"
"4131","2018-06-16","democrats","Sad!","Democrats can fix their forced family breakup at the Border by working with Republicans on new legislation, for a change! This is why we need more Republicans elected in November. Democrats are good at only three things, High Taxes, High Crime and Obstruction. Sad!"
"4132","2018-06-17","washington-post","I think a really long strike would be a great idea. Employees would get more money and we would get rid of Fake News for an extended period of time!","Washington Post employees want to go on strike because Bezos isn’t paying them enough. I think a really long strike would be a great idea. Employees would get more money and we would get rid of Fake News for an extended period of time! Is @WaPo a registered lobbyist?"
"4133","2018-06-17","washington-post","a registered lobbyist?","Washington Post employees want to go on strike because Bezos isn’t paying them enough. I think a really long strike would be a great idea. Employees would get more money and we would get rid of Fake News for an extended period of time! Is @WaPo a registered lobbyist?"
"4134","2018-06-17","trump-russia","WITCH HUNT!","WITCH HUNT! There was no Russian Collusion. Oh, I see, there was no Russian Collusion, so now they look for obstruction on the no Russian Collusion. The phony Russian Collusion was a made up Hoax. Too bad they didn’t look at Crooked Hillary like this. Double Standard!"
"4135","2018-06-17","trump-russia","phony","WITCH HUNT! There was no Russian Collusion. Oh, I see, there was no Russian Collusion, so now they look for obstruction on the no Russian Collusion. The phony Russian Collusion was a made up Hoax. Too bad they didn’t look at Crooked Hillary like this. Double Standard!"
"4136","2018-06-17","trump-russia","Double Standard!","WITCH HUNT! There was no Russian Collusion. Oh, I see, there was no Russian Collusion, so now they look for obstruction on the no Russian Collusion. The phony Russian Collusion was a made up Hoax. Too bad they didn’t look at Crooked Hillary like this. Double Standard!"
"4137","2018-06-17","trump-russia","Crooked Hillary","WITCH HUNT! There was no Russian Collusion. Oh, I see, there was no Russian Collusion, so now they look for obstruction on the no Russian Collusion. The phony Russian Collusion was a made up Hoax. Too bad they didn’t look at Crooked Hillary like this. Double Standard!"
"4138","2018-06-17","the-media","Fake News","Funny how the Fake News, in a coordinated effort with each other, likes to say I gave sooo much to North Korea because I ‘met.’ That’s because that’s all they have to disparage! We got so much for peace in the world, & more is being added in finals. Even got our hostages/remains!"
"4139","2018-06-18","undocumented-immigrants","some of the worst criminals on earth","Children are being used by some of the worst criminals on earth as a means to enter our country. Has anyone been looking at the Crime taking place south of the border. It is historic, with some countries the most dangerous places in the world. Not going to happen in the U.S."
"4140","2018-06-18","refugees-in-germany","millions of people in who have so strongly and violently changed their culture!","The people of Germany are turning against their leadership as migration is rocking the already tenuous Berlin coalition. Crime in Germany is way up. Big mistake made all over Europe in allowing millions of people in who have so strongly and violently changed their culture!"
"4141","2018-06-18","peter-strzok","the FBI’s sick loser","Why was the FBI’s sick loser, Peter Strzok, working on the totally discredited Mueller team of 13 Angry & Conflicted Democrats, when Strzok was giving Crooked Hillary a free pass yet telling his lover, lawyer Lisa Page, that ‘we’ll stop’ Trump from becoming President? Witch Hunt!"
"4142","2018-06-18","mueller-team","13 Angry & Conflicted Democrats","Why was the FBI’s sick loser, Peter Strzok, working on the totally discredited Mueller team of 13 Angry & Conflicted Democrats, when Strzok was giving Crooked Hillary a free pass yet telling his lover, lawyer Lisa Page, that ‘we’ll stop’ Trump from becoming President? Witch Hunt!"
"4143","2018-06-18","robert-mueller","Comey’s best friend","Comey gave Strozk his marching orders. Mueller is Comey’s best friend. Witch Hunt!"
"4144","2018-06-18","us-immigration-policies","world’s worst immigration laws","Why don’t the Democrats give us the votes to fix the world’s worst immigration laws? Where is the outcry for the killings and crime being caused by gangs and thugs, including MS-13, coming into our country illegally?"
"4145","2018-06-18","james-comey","Slippery","‘The highest level of bias I’ve ever witnessed in any law enforcement officer.’ Trey Gowdy on the FBI’s own, Peter Strzok. Also remember that they all worked for Slippery James Comey and that Comey is best friends with Robert Mueller. A really sick deal, isn’t it?"
"4146","2018-06-18","james-comey","best friends with Robert Mueller","‘The highest level of bias I’ve ever witnessed in any law enforcement officer.’ Trey Gowdy on the FBI’s own, Peter Strzok. Also remember that they all worked for Slippery James Comey and that Comey is best friends with Robert Mueller. A really sick deal, isn’t it?"
"4147","2018-06-18","hillary-clinton","Crooked","Why was the FBI’s sick loser, Peter Strzok, working on the totally discredited Mueller team of 13 Angry & Conflicted Democrats, when Strzok was giving Crooked Hillary a free pass yet telling his lover, lawyer Lisa Page, that ‘we’ll stop’ Trump from becoming President? Witch Hunt!"
"4148","2018-06-18","trump-russia","Witch Hunt!","Why was the FBI’s sick loser, Peter Strzok, working on the totally discredited Mueller team of 13 Angry & Conflicted Democrats, when Strzok was giving Crooked Hillary a free pass yet telling his lover, lawyer Lisa Page, that ‘we’ll stop’ Trump from becoming President? Witch Hunt!"
"4149","2018-06-18","trump-russia","A really sick deal","‘The highest level of bias I’ve ever witnessed in any law enforcement officer.’ Trey Gowdy on the FBI’s own, Peter Strzok. Also remember that they all worked for Slippery James Comey and that Comey is best friends with Robert Mueller. A really sick deal, isn’t it?"
"4150","2018-06-18","trump-russia","Witch Hunt!","Comey gave Strozk his marching orders. Mueller is Comey’s best friend. Witch Hunt!"
"4151","2018-06-18","barack-obama","got nowhere with North Korea","If President Obama (who got nowhere with North Korea and would have had to go to war with many millions of people being killed) had gotten along with North Korea and made the initial steps toward a deal that I have, the Fake News would have named him a national hero!"
"4152","2018-06-18","democrats","weak and ineffective","It is the Democrats fault for being weak and ineffective with Boarder Security and Crime. Tell them to start thinking about the people devastated by Crime coming from illegal immigration. Change the laws!"
"4153","2018-06-18","the-media","Fake News","Why was the FBI giving so much information to the Fake News Media. They are not supposed to be doing that, and knowing the enemy of the people Fake News, they put their own spin on it - truth doesn’t matter to them!"
"4154","2018-06-18","the-media","the enemy of the people","Why was the FBI giving so much information to the Fake News Media. They are not supposed to be doing that, and knowing the enemy of the people Fake News, they put their own spin on it - truth doesn’t matter to them!"
"4155","2018-06-18","the-media","they put their own spin on it - truth doesn’t matter to them!","Why was the FBI giving so much information to the Fake News Media. They are not supposed to be doing that, and knowing the enemy of the people Fake News, they put their own spin on it - truth doesn’t matter to them!"
"4156","2018-06-18","the-media","Fake News","If President Obama (who got nowhere with North Korea and would have had to go to war with many millions of people being killed) had gotten along with North Korea and made the initial steps toward a deal that I have, the Fake News would have named him a national hero!"
"4157","2018-06-19","undocumented-immigrants","pour into and infest our Country","Democrats are the problem. They don’t care about crime and want illegal immigrants, no matter how bad they may be, to pour into and infest our Country, like MS-13. They can’t win on their terrible policies, so they view them as potential voters!"
"4158","2018-06-19","us-immigration-policies","ridiculous and obsolete laws","#CHANGETHELAWS Now is the best opportunity ever for Congress to change the ridiculous and obsolete laws on immigration. Get it done, always keeping in mind that we must have strong border security."
"4159","2018-06-19","trump-russia","A Rigged Witch Hunt!","I can’t think of something more concerning than a law enforcement officer suggesting that their going to use their powers to affect an election!’ Inspector General Horowitz on what was going on with numerous people regarding my election. A Rigged Witch Hunt!p"
"4160","2018-06-19","democrats","terrible policies","Democrats are the problem. They don’t care about crime and want illegal immigrants, no matter how bad they may be, to pour into and infest our Country, like MS-13. They can’t win on their terrible policies, so they view them as potential voters!"
"4161","2018-06-19","democrats","Democrats are the problem","They don’t care about crime and want illegal immigrants, no matter how bad they may be, to pour into and infest our Country, like MS-13"
"4162","2018-06-20","mark-sanford","I have never been a fan of his!","Had a great meeting with the House GOP last night at the Capitol. They applauded and laughed loudly when I mentioned my experience with Mark Sanford. I have never been a fan of his!"
"4163","2018-06-20","mueller-team","13 Angry Democrats","Look what Fake ABC News put out. I guess they had it prepared from the 13 Angry Democrats leading the Witch Hunt! #StopTheBias https://t.co/c0XOk1btEQ"
"4164","2018-06-20","abc-news","Fake ABC News","Look what Fake ABC News put out. I guess they had it prepared from the 13 Angry Democrats leading the Witch Hunt! #StopTheBias https://t.co/c0XOk1btEQ"
"4165","2018-06-20","trump-russia","Witch Hunt","‘FBI texts have revealed anti-Trump Bias.’ @FoxNews Big News, but the Fake News doesn’t want to cover. Total corruption - the Witch Hunt has turned out to be a scam! At some point soon the Mainstream Media will have to cover correctly, too big a story!"
"4166","2018-06-20","trump-russia","a scam!","‘FBI texts have revealed anti-Trump Bias.’ @FoxNews Big News, but the Fake News doesn’t want to cover. Total corruption - the Witch Hunt has turned out to be a scam! At some point soon the Mainstream Media will have to cover correctly, too big a story!"
"4167","2018-06-20","trump-russia","Witch Hunt","Look what Fake ABC News put out. I guess they had it prepared from the 13 Angry Democrats leading the Witch Hunt! #StopTheBias https://t.co/c0XOk1btEQ"
"4168","2018-06-20","democrats","They want open borders","It’s the Democrats fault, they won’t give us the votes needed to pass good immigration legislation. They want open borders, which breeds horrible crime. Republicans want security. But I am working on something - it never ends!"
"4169","2018-06-20","the-media","Fake News","The Fake News is not mentioning the safety and security of our Country when talking about illegal immigration. Our immigration laws are the weakest and worst anywhere in the world, and the Dems will do anything not to change them & to obstruct-want open borders which means crime!"
"4170","2018-06-20","the-media","Fake News","‘FBI texts have revealed anti-Trump Bias.’ @FoxNews Big News, but the Fake News doesn’t want to cover. Total corruption - the Witch Hunt has turned out to be a scam! At some point soon the Mainstream Media will have to cover correctly, too big a story!"
"4171","2018-06-20","the-media","Total corruption","‘FBI texts have revealed anti-Trump Bias.’ @FoxNews Big News, but the Fake News doesn’t want to cover. Total corruption - the Witch Hunt has turned out to be a scam! At some point soon the Mainstream Media will have to cover correctly, too big a story!"
"4172","2018-06-21","nancy-pelosi","weak on Crime and Border security","The Border has been a big mess and problem for many years. At some point Schumer and Pelosi, who are weak on Crime and Border security, will be forced to do a real deal, so easy, that solves this long time problem. Schumer used to want Border security - now he’ll take Crime!"
"4173","2018-06-21","chuck-schumer","weak on Crime and Border security","The Border has been a big mess and problem for many years. At some point Schumer and Pelosi, who are weak on Crime and Border security, will be forced to do a real deal, so easy, that solves this long time problem. Schumer used to want Border security - now he’ll take Crime!"
"4174","2018-06-21","chuck-schumer","used to want Border security - now he’ll take Crime!","The Border has been a big mess and problem for many years. At some point Schumer and Pelosi, who are weak on Crime and Border security, will be forced to do a real deal, so easy, that solves this long time problem. Schumer used to want Border security - now he’ll take Crime!"
"4175","2018-06-21","democrats","want open Borders, where anyone can come into our Country, and stay. This is Nancy Pelosi’s dream","Democrats want open Borders, where anyone can come into our Country, and stay. This is Nancy Pelosi’s dream. It won’t happen!"
"4176","2018-06-21","democrats","they don’t care about security","You cannot pass legislation on immigration whether it be for safety and security or any other reason including ‘heart,’ without getting Dem votes. Problem is, they don’t care about security and R’s do. Zero Dems voted to support the Goodlatte Bill. They won’t vote for anything!"
"4177","2018-06-21","democrats","They won’t vote for anything!","You cannot pass legislation on immigration whether it be for safety and security or any other reason including ‘heart,’ without getting Dem votes. Problem is, they don’t care about security and R’s do. Zero Dems voted to support the Goodlatte Bill. They won’t vote for anything!"
"4178","2018-06-22","us-immigration-policies","the dumbest and the worst","Elect more Republicans in November and we will pass the finest, fairest and most comprehensive Immigration Bills anywhere in the world. Right now we have the dumbest and the worst. Dems are doing nothing but Obstructing. Remember their motto, RESIST! Ours is PRODUCE!"
"4179","2018-06-22","us-immigration-policies","pathetically weak and ineffective","80% of Mexico’s Exports come to the United States. They totally rely on us, which is fine with me. They do have, though, very strong Immigration Laws. The U.S. has pathetically weak and ineffective Immigration Laws that the Democrats refuse to help us fix. Will speak to Mexico!"
"4180","2018-06-22","democrats","Obstructionists","Even if we get 100% Republican votes in the Senate, we need 10 Democrat votes to get a much needed Immigration Bill - & the Dems are Obstructionists who won’t give votes for political reasons & because they don’t care about Crime coming from Border! So we need to elect more R’s!"
"4181","2018-06-22","democrats","don’t care about Crime coming from Border!","Even if we get 100% Republican votes in the Senate, we need 10 Democrat votes to get a much needed Immigration Bill - & the Dems are Obstructionists who won’t give votes for political reasons & because they don’t care about Crime coming from Border! So we need to elect more R’s!"
"4182","2018-06-22","democrats","doing nothing but Obstructing","Elect more Republicans in November and we will pass the finest, fairest and most comprehensive Immigration Bills anywhere in the world. Right now we have the dumbest and the worst. Dems are doing nothing but Obstructing. Remember their motto, RESIST! Ours is PRODUCE!"
"4183","2018-06-22","democrats","just playing games","Republicans should stop wasting their time on Immigration until after we elect more Senators and Congressmen/women in November. Dems are just playing games, have no intention of doing anything to solves this decades old problem. We can pass great legislation after the Red Wave!"
"4184","2018-06-22","democrats","have no intention of doing anything","Republicans should stop wasting their time on Immigration until after we elect more Senators and Congressmen/women in November. Dems are just playing games, have no intention of doing anything to solves this decades old problem. We can pass great legislation after the Red Wave!"
"4185","2018-06-23","conor-lamb","#LambTheSham",".@VP Pence is heading to Pittsburgh, Pennsylvania where we have both strongly endorsed one of the finest men around, Congressman Keith @RothfusForPA. He is running against #LambTheSham, who is telling..."
"4186","2018-06-23","conor-lamb","will only vote with Nancy Pelosi","...everyone how much he likes me, but he will only vote with Nancy Pelosi. Keith is strong on borders and tough on crime â€” and loves cutting taxes! #MAGA"
"4187","2018-06-23","nancy-pelosi","want to protect illegal immigrants far more than the citizens of our country","It’s very sad that Nancy Pelosi and her sidekick, Cryin’ Chuck Schumer, want to protect illegal immigrants far more than the citizens of our country. The United States cannot stand for this. We wants safety and security at our borders!"
"4188","2018-06-23","trump-russia","Democrat inspired and paid for Russian Witch Hunt",".@FoxNews Poll numbers plummet on the Democrat inspired and paid for Russian Witch Hunt. With all of the bias, lying and hate by the investigators, people want the investigators investigated. Much more will come out. A total scam and excuse for the Dems losing the Election!"
"4189","2018-06-23","trump-russia","A total scam and excuse for the Dems losing the Election!",".@FoxNews Poll numbers plummet on the Democrat inspired and paid for Russian Witch Hunt. With all of the bias, lying and hate by the investigators, people want the investigators investigated. Much more will come out. A total scam and excuse for the Dems losing the Election!"
"4190","2018-06-23","trump-russia","Witch Hunt","The Russian Witch Hunt is Rigged!"
"4191","2018-06-23","trump-russia","Rigged!","The Russian Witch Hunt is Rigged!"
"4192","2018-06-23","chuck-schumer","Cryin’ Chuck","It’s very sad that Nancy Pelosi and her sidekick, Cryin’ Chuck Schumer, want to protect illegal immigrants far more than the citizens of our country. The United States cannot stand for this. We wants safety and security at our borders!"
"4193","2018-06-23","chuck-schumer","want to protect illegal immigrants far more than the citizens of our country","It’s very sad that Nancy Pelosi and her sidekick, Cryin’ Chuck Schumer, want to protect illegal immigrants far more than the citizens of our country. The United States cannot stand for this. We wants safety and security at our borders!"
"4194","2018-06-23","the-media","Fake Media","Drudge Report ‘OBAMA KEPT THEM IN CAGES, WRAPPED THEM IN FOIL’ We do a much better job while at the same time maintaining a MUCH stronger Border! Mainstream Fake Media hates this story."
"4195","2018-06-24","us-immigration-policies","a mockery to good immigration policy","We cannot allow all of these people to invade our Country. When somebody comes in, we must immediately, with no Judges or Court Cases, bring them back from where they came. Our system is a mockery to good immigration policy and Law and Order. Most children come without parents..."
"4196","2018-06-24","us-immigration-policies","laughed at all over the world","....Our Immigration policy, laughed at all over the world, is very unfair to all of those people who have gone through the system legally and are waiting on line for years! Immigration must be based on merit - we need people who will help to Make America Great Again!"
"4197","2018-06-24","us-immigration-policies","very unfair","....Our Immigration policy, laughed at all over the world, is very unfair to all of those people who have gone through the system legally and are waiting on line for years! Immigration must be based on merit - we need people who will help to Make America Great Again!"
"4198","2018-06-24","trump-russia","Witch Hunt","Major Wall Street Journal opinion piece today talking about the Russian Witch Hunt and the disgrace that it is. So many people hurt, so bad for our country - a total sham!
 https://t.co/bcpSGtoX6a"
