和风天气海外热门城市列表 v1.2
城市ID	大洲	国家中文	国家英文	城市中文	城市英文	纬度	经度
YE74477	亚洲	也门	Yemen	伊卜	Ibb	13.96667	44.18333
YE4300006	亚洲	也门	Yemen	卡马朗	Kamaran	15.4	42.6
YE4300007	亚洲	也门	Yemen	马利卜	Marib	15.4	45.3
YE4300008	亚洲	也门	Yemen	摩卡	Mokha	13.2	43.3
YE4300009	亚洲	也门	Yemen	穆赫拉斯	Mukeiras	13.4	45.7
AD3041563	欧洲	安道尔	Andorra	安道尔	Andorra la Vella	42.50779	1.52109
AL782061	欧洲	阿尔巴尼亚	Albania	佩什科比	Peshkopi	41.685	20.42889
AL3183875	欧洲	阿尔巴尼亚	Albania	地拉那	Tirana	41.3275	19.81889
AL6309003	欧洲	阿尔巴尼亚	Albania	斯库台	Shkodra	42.1	19.5
AL3185728	欧洲	阿尔巴尼亚	Albania	都拉斯	Durres	41.32306	19.44139
AL3183719	欧洲	阿尔巴尼亚	Albania	夫罗勒	Vlore	40.46667	19.48972
AL6309001	欧洲	阿尔巴尼亚	Albania	吉诺卡斯特	Gjirokastra	40.1	20.1
AL6309002	欧洲	阿尔巴尼亚	Albania	科尔察	Korca	40.6	20.8
AL782661	欧洲	阿尔巴尼亚	Albania	库奇斯	Kukes	42.07694	20.42194
LI3042030	欧洲	列支敦士登	Liechtenstein	瓦杜兹	Vaduz	47.14151	9.52154
AT2782555	欧洲	奥地利	Austria	阿姆施泰滕	Amstetten	48.1229	14.87206
AT2782067	欧洲	奥地利	Austria	巴登	Baden	48.00543	16.23264
AT3308002	欧洲	奥地利	Austria	巴特加施泰因	Badgastein	47.1	13.1
AT2781735	欧洲	奥地利	Austria	比绍夫斯霍芬	Bischofshofen	47.41667	13.21667
AT3308003	欧洲	奥地利	Austria	布兰德	Brand	47.1	9.7
AT2781503	欧洲	奥地利	Austria	布雷根茨	Bregenz	47.50311	9.7471
AT3308004	欧洲	奥地利	Austria	布伦纳	Brenner	47	11.5
AT2781023	欧洲	奥地利	Austria	德意志兰茨贝格	Deutschlandsberg	46.81528	15.22222
AT3308005	欧洲	奥地利	Austria	多瑙费尔德	Donaufeld	48.2	16.4
AT2780741	欧洲	奥地利	Austria	多恩比恩	Dornbirn	47.41667	9.73306
AT2780190	欧洲	奥地利	Austria	艾森斯塔特	Eisenstadt	47.84565	16.52327
AT2779685	欧洲	奥地利	Austria	费尔德巴赫	Feldbach	46.95306	15.88833
AT2779674	欧洲	奥地利	Austria	费尔德基希	Feldkirch	47.23306	9.6
AT3308006	欧洲	奥地利	Austria	费尔德基兴	Feldkirchen	46.7	14.1
AT3308007	欧洲	奥地利	Austria	费施巴赫	Fischbach	47.4	15.6
AT2779275	欧洲	奥地利	Austria	福莱斯塔特	Freistadt	48.51103	14.50453
AT2779229	欧洲	奥地利	Austria	弗里萨赫	Friesach	46.95528	14.40583
AT2778436	欧洲	奥地利	Austria	格蒙登	Gmunden	47.91887	13.79754
AT2778067	欧洲	奥地利	Austria	格拉茨	Graz	47.06667	15.45
AT3308008	欧洲	奥地利	Austria	格洛森哲斯多夫	Grossenzersdorf	48.2	16.5
AT3308009	欧洲	奥地利	Austria	霍尔茨高	Holzgau	47.2	10.3
AT2775220	欧洲	奥地利	Austria	因斯布鲁克	Innsbruck	47.26266	11.39454
AT2775093	欧洲	奥地利	Austria	珍巴赫	Jenbach	47.39173	11.77245
AT2774773	欧洲	奥地利	Austria	卡芬堡	Kapfenberg	47.44458	15.29331
AT3308010	欧洲	奥地利	Austria	基茨比尔	Kitzbuehel	47.4	12.4
AT3308011	欧洲	奥地利	Austria	克拉根福	Klagenfurt	46.7	14.3
AT3308012	欧洲	奥地利	Austria	克雷姆斯	Krems	48.4	15.6
AT3308013	欧洲	奥地利	Austria	克雷姆斯明斯特	Kremsmuenster	48	14.1
AT3308014	欧洲	奥地利	Austria	克里姆勒	Krimml	47.2	12.2
AT2773300	欧洲	奥地利	Austria	库夫施泰因	Kufstein	47.58333	12.16667
AT2773070	欧洲	奥地利	Austria	兰德克	Landeck	47.13988	10.56593
AT2773010	欧洲	奥地利	Austria	朗根罗伊斯	Langenlois	48.46667	15.66667
AT2772753	欧洲	奥地利	Austria	莱布尼兹	Leibnitz	46.78161	15.53836
AT2772505	欧洲	奥地利	Austria	利恩茨	Lienz	46.8289	12.76903
AT2772400	欧洲	奥地利	Austria	林茨	Linz	48.30639	14.28611
AT3308015	欧洲	奥地利	Austria	洛费尔	Lofer	47.6	12.7
AT3308016	欧洲	奥地利	Austria	玛丽亚草甸	Mariaalm	47.4	12.9
AT3308017	欧洲	奥地利	Austria	迈尔霍芬	Mayrhofen	47.2	11.9
AT3308018	欧洲	奥地利	Austria	米尔施塔特	Millstatt	46.8	13.6
AT2771557	欧洲	奥地利	Austria	米斯特巴尔赫	Mistelbach	48.57	16.57667
AT2771277	欧洲	奥地利	Austria	月亮湖	Mondsee	47.85648	13.34908
AT3308019	欧洲	奥地利	Austria	穆劳	Murau	47.1	14.2
AT3308020	欧洲	奥地利	Austria	诺伊马克特	Neumarkt	47.1	14.4
AT3308021	欧洲	奥地利	Austria	诺伊希德尔	Neusiedl	48	16.8
AT3308022	欧洲	奥地利	Austria	奥伯谷尔格	Obergurgl	46.9	11
AT3308023	欧洲	奥地利	Austria	上陶恩	Obertauern	47.2	13.6
AT3308024	欧洲	奥地利	Austria	帕茨科托弗	Patscherkofel	47.2	11.5
AT3308025	欧洲	奥地利	Austria	帕特沙赫	Poertschach	46.6	14.1
AT2768450	欧洲	奥地利	Austria	波伊斯多夫	Poysdorf	48.66667	16.63333
AT3308026	欧洲	奥地利	Austria	普赫贝格	Puchberg	47.8	15.9
AT2761369	欧洲	奥地利	Austria	维也纳	Vienna	48.20849	16.37208
AT2768098	欧洲	奥地利	Austria	雷德斯塔特	Radstadt	47.38333	13.45
AT3308027	欧洲	奥地利	Austria	兰舍芬	Ranshofen	48.2	13
AT2767521	欧洲	奥地利	Austria	雷茨	Retz	48.75	15.95
AT2767511	欧洲	奥地利	Austria	罗伊特	Reutte	47.48333	10.71667
AT3308028	欧洲	奥地利	Austria	罗尔巴赫	Rohrbach	48.6	14
AT2766824	欧洲	奥地利	Austria	萨尔茨堡	Salzburg	47.79941	13.04399
AT3308029	欧洲	奥地利	Austria	舍尔丁	Schaerding	48.5	13.4
AT3308030	欧洲	奥地利	Austria	泽费尔德	Seefeld	47.3	11.2
AT3308031	欧洲	奥地利	Austria	塞贝斯多夫	Seibersdorf	48	16.5
AT3308032	欧洲	奥地利	Austria	塞默灵	Semmering	47.6	15.8
AT3308033	欧洲	奥地利	Austria	锡利安	Sillian	46.8	12.4
AT3308034	欧洲	奥地利	Austria	松布利克	Sonnblick	47	12.9
AT2764279	欧洲	奥地利	Austria	施托克劳	Stockerau	48.38333	16.21667
AT2762372	欧洲	奥地利	Austria	维拉克	Villach	46.61028	13.85583
AT3308035	欧洲	奥地利	Austria	风怒角	Warth	47.2	10.2
AT2761531	欧洲	奥地利	Austria	魏茨	Weiz	47.21667	15.61667
BY623549	欧洲	白俄罗斯	Belarus	平斯克	Pinsk	52.1229	26.0951
BY3499009	欧洲	白俄罗斯	Belarus	波洛茨克	Polotsk	55.5	28.8
BY625144	欧洲	白俄罗斯	Belarus	明斯克	Minsk	53.9	27.566668
BY3499001	欧洲	白俄罗斯	Belarus	鲍里索夫	Borisov	54.2	28.5
BY3499002	欧洲	白俄罗斯	Belarus	布雷斯特	Brest	52.1	23.7
BY3499010	欧洲	白俄罗斯	Belarus	仙纳	Senno	54.8	29.7
BY3499011	欧洲	白俄罗斯	Belarus	斯拉夫戈罗德	Slavgorod	53.5	31
BY3499012	欧洲	白俄罗斯	Belarus	斯摩棱斯克	Smolensk	54.8	32.1
BY3499013	欧洲	白俄罗斯	Belarus	斯帕斯-杰缅斯克	Spas Demensk	54.4	34
BY3499003	欧洲	白俄罗斯	Belarus	多克西泽	Dokshitsy	54.9	27.8
BY620127	欧洲	白俄罗斯	Belarus	维特伯斯克	Vitebsk	55.19048	30.2033
BY627907	欧洲	白俄罗斯	Belarus	高美尔	Gomel	52.4345	30.9754
BY3499004	欧洲	白俄罗斯	Belarus	高尔基	Gorki	54.3	30.9
BY627904	欧洲	白俄罗斯	Belarus	格罗德诺	Grodno	53.6884	23.8258
BY3499005	欧洲	白俄罗斯	Belarus	利普	Lepel	54.9	28.7
BY626081	欧洲	白俄罗斯	Belarus	利达	Lida	53.88333	25.29972
BY3499006	欧洲	白俄罗斯	Belarus	林图皮	Lyntupy	55	26.3
BY3499007	欧洲	白俄罗斯	Belarus	莫吉廖夫	Mogilev	54	30.1
BY3499008	欧洲	白俄罗斯	Belarus	莫济里	Mozyr	52	29.2
BY624079	欧洲	白俄罗斯	Belarus	奥尔沙	Orsha	54.515278	30.405277
BE2800866	欧洲	比利时	Belgium	布鲁塞尔	Brussels	50.85045	4.34878
BE3499001	欧洲	比利时	Belgium	安特卫普	Antwerpen Deurne	51.2	4.5
BE2802483	欧洲	比利时	Belgium	博弗尚	Beauvechain	50.78195	4.7718
BE3499002	欧洲	比利时	Belgium	列日	Bierset	50.7	5.4
BE2801117	欧洲	比利时	Belgium	布拉斯哈特	Brasschaat	51.2912	4.49182
BE3499003	欧洲	比利时	Belgium	沙勒罗瓦·戈斯利	Charleroi Gosselies	50.5	4.4
BE2800328	欧洲	比利时	Belgium	谢夫尔	Chievres	50.58787	3.80711
BE2799412	欧洲	比利时	Belgium	迪彭贝克	Diepenbeek	50.90769	5.41875
BE3499004	欧洲	比利时	Belgium	埃尔森博恩	Elsenborn	50.5	6.2
BE2798276	欧洲	比利时	Belgium	夫洛雷恩	Florennes	50.25127	4.60636
BE2797670	欧洲	比利时	Belgium	亨克	Genk	50.965	5.50082
BE2794166	欧洲	比利时	Belgium	科克赛德	Koksijde	51.11642	2.63772
BE2791385	欧洲	比利时	Belgium	麦尔市	Melle	51.00232	3.80526
BE3499005	欧洲	比利时	Belgium	蒙特瑞奇	Mont Rigi	50.5	6.1
BE2789786	欧洲	比利时	Belgium	奥斯坦德	Oostende	51.22339	2.91185
BE2788138	欧洲	比利时	Belgium	里提	Retie	51.26652	5.08242
BE3499006	欧洲	比利时	Belgium	塞梅尔扎克	Semmerzake	50.9	3.7
BE3499007	欧洲	比利时	Belgium	休伯特	St Hubert	50	5.4
BE3499008	欧洲	比利时	Belgium	于克勒	Uccle	50.8	4.3
BE2783307	欧洲	比利时	Belgium	泽布吕赫	Zeebrugge	51.32902	3.18188
BA3191281	欧洲	波黑	Bosnia and Herzegovina	萨拉热窝	Sarajevo	43.84864	18.35644
BA3204222	欧洲	波黑	Bosnia and Herzegovina	比哈奇	Bihac	44.81694	15.87083
BA3203099	欧洲	波黑	Bosnia and Herzegovina	布戈伊诺	Bugojno	44.05722	17.45083
BA3399001	欧洲	波黑	Bosnia and Herzegovina	桑斯基莫斯特	Sanskimost	44.8	16.7
BA3188582	欧洲	波黑	Bosnia and Herzegovina	图兹拉	Tuzla	44.54278	18.66944
BA3199744	欧洲	波黑	Bosnia and Herzegovina	格拉达卡奇	Gradacac	44.88083	18.42694
BA3198934	欧洲	波黑	Bosnia and Herzegovina	伊策	Jajce	44.34222	17.26556
BA3196410	欧洲	波黑	Bosnia and Herzegovina	利夫诺	Livno	43.82694	17.00778
BA3194828	欧洲	波黑	Bosnia and Herzegovina	莫斯塔	Mostar	43.34333	17.80806
BA3194514	欧洲	波黑	Bosnia and Herzegovina	涅姆	Neum	42.92333	17.61556
BG728203	欧洲	保加利亚	Bulgaria	普列文	Pleven	43.41667	24.61667
BG728193	欧洲	保加利亚	Bulgaria	普罗夫迪夫	Plovdiv	42.15	24.75
BG732770	欧洲	保加利亚	Bulgaria	布尔加斯	Burgas	42.50606	27.46781
BG727696	欧洲	保加利亚	Bulgaria	拉兹格勒	Razgrad	43.53333	26.51667
BG3390004	欧洲	保加利亚	Bulgaria	鲁塞	Rousse	43.8	26
BG727447	欧洲	保加利亚	Bulgaria	桑丹斯基	Sandanski	41.56667	23.28333
BG727329	欧洲	保加利亚	Bulgaria	沙布拉	Shabla	43.53333	28.53333
BG727221	欧洲	保加利亚	Bulgaria	锡利斯特拉	Silistra	44.11667	27.26667
BG727079	欧洲	保加利亚	Bulgaria	斯利文	Sliven	42.68583	26.32917
BG727011	欧洲	保加利亚	Bulgaria	索菲亚	Sofia	42.69751	23.32415
BG726546	欧洲	保加利亚	Bulgaria	斯维林格勒	Svilengrad	41.76667	26.2
BG731961	欧洲	保加利亚	Bulgaria	德拉格曼	Dragoman	42.91889	22.93167
BG726050	欧洲	保加利亚	Bulgaria	瓦尔纳	Varna	43.21667	27.91667
BG725905	欧洲	保加利亚	Bulgaria	维丁	Vidin	43.99	22.8725
BG3390005	欧洲	保加利亚	Bulgaria	弗拉塔	Vratza	43.2	23.5
BG3390001	欧洲	保加利亚	Bulgaria	伊瓦依洛	Ivailo	42.2	24.3
BG3390002	欧洲	保加利亚	Bulgaria	库尔德加里	Kurdjali	41.7	25.4
BG3390003	欧洲	保加利亚	Bulgaria	洛夫奇	Lovetch	43.1	24.7
BG729114	欧洲	保加利亚	Bulgaria	蒙大纳	Montana	43.4125	23.225
HR3203982	欧洲	克罗地亚	Croatia	别洛瓦尔	Bjelovar	45.89861	16.84889
HR3202184	欧洲	克罗地亚	Croatia	达鲁瓦尔	Daruvar	45.59056	17.225
HR3199873	欧洲	克罗地亚	Croatia	戈斯皮奇	Gospic	44.54611	15.37472
HR3199680	欧洲	克罗地亚	Croatia	格拉迪什泰	Gradiste	45.14806	18.70667
HR3199180	欧洲	克罗地亚	Croatia	赫瓦尔岛	Hvar	43.1725	16.44278
HR3197986	欧洲	克罗地亚	Croatia	克宁	Knin	44.04389	16.2
HR3399002	欧洲	克罗地亚	Croatia	米扎	Komiza	43	16.1
HR3197369	欧洲	克罗地亚	Croatia	克拉皮纳	Krapina	46.16083	15.87889
HR3197230	欧洲	克罗地亚	Croatia	克里扎维奇	Krizevci	46.02194	16.5425
HR3399003	欧洲	克罗地亚	Croatia	拉斯托伏	Lastovo	42.8	16.9
HR3195890	欧洲	克罗地亚	Croatia	马卡斯卡	Makarska	43.29694	17.01778
HR3399004	欧洲	克罗地亚	Croatia	木洛希尼	Malilosinj	44.5	14.5
HR3193561	欧洲	克罗地亚	Croatia	帕津	Pazin	45.24028	13.93667
HR3399005	欧洲	克罗地亚	Croatia	普洛切	Ploce	43	17.4
HR3399001	欧洲	克罗地亚	Croatia	萨格勒布	Zagreb	45.8	16
HR3399006	欧洲	克罗地亚	Croatia	拉布岛	Rab	44.8	14.8
HR3191055	欧洲	克罗地亚	Croatia	塞尼	Senj	44.98944	14.90583
HR3190941	欧洲	克罗地亚	Croatia	希贝尼克	Sibenik	43.72722	15.90583
HR3190813	欧洲	克罗地亚	Croatia	锡萨克	Sisak	45.46611	16.37833
HR3399007	欧洲	克罗地亚	Croatia	马尔让山	Split Marjan	43.5	16.4
HR3188383	欧洲	克罗地亚	Croatia	法拉兹丁	Varazdin	46.30444	16.33778
CZ3399001	欧洲	捷克斯洛伐克	Czechoslovakia	布拉迪斯拉发	Bratislava	48.2	17.2
CZ3078234	欧洲	捷克斯洛伐克	Czechoslovakia	恰斯拉夫	Caslav	49.91099	15.38972
CZ3077835	欧洲	捷克斯洛伐克	Czechoslovakia	切布	Cheb	50.07963	12.37392
CZ3399002	欧洲	捷克斯洛伐克	Czechoslovakia	丘拉诺夫	Churanov	49.1	13.6
CZ3399003	欧洲	捷克斯洛伐克	Czechoslovakia	杜丁西	Dudince	48.2	18.9
CZ3399004	欧洲	捷克斯洛伐克	Czechoslovakia	杜库凡尼	Dukovany	49.1	16.1
CZ3075606	欧洲	捷克斯洛伐克	Czechoslovakia	霍莱绍夫	Holesov	49.33331	17.57832
CZ3399005	欧洲	捷克斯洛伐克	Czechoslovakia	胡尔巴诺沃	Hurbanovo	47.9	18.2
CZ3399006	欧洲	捷克斯洛伐克	Czechoslovakia	卡罗维发利	Karlovyvary	50.2	12.9
CZ3399007	欧洲	捷克斯洛伐克	Czechoslovakia	科切罗维奇	Kocelovice	49.5	13.8
CZ3399008	欧洲	捷克斯洛伐克	Czechoslovakia	科希策	Kosice	48.7	21.2
CZ3071961	欧洲	捷克斯洛伐克	Czechoslovakia	利贝雷茨	Liberec	50.76711	15.05619
CZ3399009	欧洲	捷克斯洛伐克	Czechoslovakia	卢切内茨	Lucenec	48.3	19.8
CZ3399010	欧洲	捷克斯洛伐克	Czechoslovakia	卢卡	Luka	49.7	17
CZ3399011	欧洲	捷克斯洛伐克	Czechoslovakia	迈尔索夫卡	Milesovka	50.5	13.9
CZ3399012	欧洲	捷克斯洛伐克	Czechoslovakia	莫霍夫采	Mochovce	48.3	18.5
CZ3399013	欧洲	捷克斯洛伐克	Czechoslovakia	奥斯拉瓦河畔纳梅什季	Namestnadoslavou	49.2	16.1
CZ3399014	欧洲	捷克斯洛伐克	Czechoslovakia	尼特拉	Nitra	48.3	18.1
CZ3399015	欧洲	捷克斯洛伐克	Czechoslovakia	俄斯特拉发	Ostrava Mosnov	49.7	18.1
CZ3068582	欧洲	捷克斯洛伐克	Czechoslovakia	帕尔杜比采	Pardubice	50.04075	15.77659
CZ3399016	欧洲	捷克斯洛伐克	Czechoslovakia	皮耶什佳尼	Piestany	48.5	17.8
CZ3399017	欧洲	捷克斯洛伐克	Czechoslovakia	波普拉德	Poprad	49	20.3
CZ3399018	欧洲	捷克斯洛伐克	Czechoslovakia	波普拉德·塔特拉山	Poprad Tatry	49.1	20.3
CZ3067696	欧洲	捷克斯洛伐克	Czechoslovakia	布拉格	Prague	50.08804	14.42076
CZ3399019	欧洲	捷克斯洛伐克	Czechoslovakia	布拉格科贝里	Praha Kbely	50.1	14.5
CZ3067580	欧洲	捷克斯洛伐克	Czechoslovakia	普热罗夫	Prerov	49.45511	17.4509
CZ3399020	欧洲	捷克斯洛伐克	Czechoslovakia	普雷绍夫	Presov	49	21.3
CZ3067535	欧洲	捷克斯洛伐克	Czechoslovakia	普日比斯拉夫	Pribyslav	49.57684	15.73855
CZ3399021	欧洲	捷克斯洛伐克	Czechoslovakia	普列维扎	Prievidza	48.8	18.6
CZ3399022	欧洲	捷克斯洛伐克	Czechoslovakia	普日姆达	Primda	49.7	12.7
CZ3399023	欧洲	捷克斯洛伐克	Czechoslovakia	斯历亚科	Sliac	48.6	19.1
CZ3399024	欧洲	捷克斯洛伐克	Czechoslovakia	斯特罗普科夫	Stropkov	49.2	21.6
CZ3399025	欧洲	捷克斯洛伐克	Czechoslovakia	泰梅林	Temelin	49.2	14.3
CZ3399026	欧洲	捷克斯洛伐克	Czechoslovakia	拉贝河畔乌斯季	Ustinadlabem	50.7	14
CZ3399027	欧洲	捷克斯洛伐克	Czechoslovakia	日利纳	Zilina Hricov	49.2	18.6
FO2611396	欧洲	法罗群岛	Faroelslands	托尔斯港	Torshavn	62.00973	-6.77164
DK2624652	欧洲	丹麦	Denmark	奥胡斯	Aarhus	56.15674	10.21076
DK2618425	欧洲	丹麦	Denmark	哥本哈根	Copenhagen	55.67594	12.56553
DK3399001	欧洲	丹麦	Denmark	阿尔斯列夫	Aarslev	55.3	10.4
DK3399002	欧洲	丹麦	Denmark	阿拜德	Abed	54.8	11.3
DK2613939	欧洲	丹麦	Denmark	斯卡恩	Skagen	57.72093	10.58394
DK3399005	欧洲	丹麦	Denmark	托尔斯港	Tors Haven	62	-6.799988
DK3399003	欧洲	丹麦	Denmark	盖瑟	Gedser	54.6	11.9
DK2620786	欧洲	丹麦	Denmark	汉斯特霍尔姆	Hanstholm	57.11667	8.61667
DK3399004	欧洲	丹麦	Denmark	欧登赛	Odenselufthavn	55.5	10.3
EE588409	欧洲	爱沙尼亚	Estonia	塔林	Tallinn	59.43696	24.75353
EE669903	欧洲	爱沙尼亚	Estonia	圣彼得堡	St Petersburg	60	30.3
EE669904	欧洲	爱沙尼亚	Estonia	图里	Turi	58.8	25.4
EE669905	欧洲	爱沙尼亚	Estonia	维尔楚	Virtsu	58.6	23.5
EE669906	欧洲	爱沙尼亚	Estonia	沃洛索沃	Volosovo	59.4	29.5
EE591902	欧洲	爱沙尼亚	Estonia	约格瓦	Jogeva	58.74667	26.39389
EE669901	欧洲	爱沙尼亚	Estonia	金吉谢普	Kingisepp	59.4	28.6
EE669902	欧洲	爱沙尼亚	Estonia	基里希	Kirishi	59.5	32
EE590976	欧洲	爱沙尼亚	Estonia	昆达	Kunda	59.48417	26.56111
FI632978	欧洲	芬兰	Finland	瓦萨	Vaasa	63.096	21.61577
FI634963	欧洲	芬兰	Finland	坦佩雷	Tampere	61.49911	23.78712
FI661896	欧洲	芬兰	Finland	艾赫泰里	Ahtari	62.55403	24.06186
FI6699001	欧洲	芬兰	Finland	海卢奥托	Hailuoto	65	24.8
FI658225	欧洲	芬兰	Finland	赫尔辛基	Helsinki	60.16952	24.93545
FI656220	欧洲	芬兰	Finland	伊瓦洛	Ivalo	68.65986	27.53891
FI655808	欧洲	芬兰	Finland	约恩苏	Joensuu	62.60118	29.76316
FI655692	欧洲	芬兰	Finland	约基奥伊宁	Jokioinen	60.80162	23.48004
FI6699002	欧洲	芬兰	Finland	于韦斯屈莱	Jyvaskyla	62.4	25.7
FI654899	欧洲	芬兰	Finland	卡亚尼	Kajaani	64.22728	27.72846
FI653616	欧洲	芬兰	Finland	卡乌哈瓦	Kauhava	63.1	23.08333
FI6699003	欧洲	芬兰	Finland	凯沃	Kevo	69.8	27
FI6699004	欧洲	芬兰	Finland	基尔皮斯耶尔维	Kilpisjarvi	69.1	20.8
FI6699005	欧洲	芬兰	Finland	库萨莫	Kuusamo	66	29.2
FI650224	欧洲	芬兰	Finland	库奥皮奥	Kuopio	62.89238	27.67703
FI649360	欧洲	芬兰	Finland	拉赫蒂	Lahti	60.98267	25.66151
FI648900	欧洲	芬兰	Finland	拉彭兰塔	Lappeenranta	61.05871	28.18871
FI645672	欧洲	芬兰	Finland	穆奥尼奥	Muonio	67.95	23.7
FI6699006	欧洲	芬兰	Finland	尼尼萨洛	Niinisalo	61.8	22.5
FI6699007	欧洲	芬兰	Finland	尼汉姆	Nyhamn	60	20
FI643492	欧洲	芬兰	Finland	奥卢	Oulu	65.01236	25.46816
FI642367	欧洲	芬兰	Finland	佩洛	Pello	66.78333	23.91667
FI640999	欧洲	芬兰	Finland	波里	Pori	61.48333	21.78333
FI6699008	欧洲	芬兰	Finland	兰基	Rankki	60.4	27
FI638936	欧洲	芬兰	Finland	罗瓦涅米	Rovaniemi	66.5	25.71667
FI6699009	欧洲	芬兰	Finland	鲁萨洛	Russaro	59.8	23
FI637292	欧洲	芬兰	Finland	萨翁林纳	Savonlinna	61.8699	28.87999
FI636464	欧洲	芬兰	Finland	索丹屈莱	Sodankyla	67.41667	26.6
FI6699010	欧洲	芬兰	Finland	坦佩雷·皮尔卡拉	Tampere Pirkkala	61.4	23.6
FI633679	欧洲	芬兰	Finland	图尔库	Turku	60.45148	22.26869
FI6699011	欧洲	芬兰	Finland	卡拉河乌尔科卡拉岛	Ulkokalla	64.3	23.6
FI6699012	欧洲	芬兰	Finland	于特	Uto	59.8	21.4
FI6699013	欧洲	芬兰	Finland	乌堤	Utti	60.9	26.9
FI6699014	欧洲	芬兰	Finland	科什霍尔姆瓦尔斯群岛	Valassaaret	63.4	21.1
FI631560	欧洲	芬兰	Finland	维塔萨里	Viitasaari	63.06667	25.86667
MC2993458	欧洲	摩纳哥	Monaco	摩纳哥	Monaco	43.73333	7.41667
FR2990969	欧洲	法国	France	南特	Nantes	47.21725	-1.55336
FR2994160	欧洲	法国	France	梅斯	Metz	49.11911	6.17269
FR2995469	欧洲	法国	France	马赛	Marseille	43.29695	5.38107
FR2998286	欧洲	法国	France	里摩日	Limoges	45.83153	1.2578
FR2998324	欧洲	法国	France	里尔	Lille	50.63297	3.05858
FR3003796	欧洲	法国	France	勒阿弗尔	Le Havre	49.4938	0.10767
FR3038789	欧洲	法国	France	阿布维尔	Abbeville	50.1	1.83333
FR3038634	欧洲	法国	France	阿让	Agen	44.2	0.63333
FR3038334	欧洲	法国	France	阿雅克肖	Ajaccio	41.92723	8.73462
FR3038261	欧洲	法国	France	阿勒比	Albi	43.9298	2.148
FR3038230	欧洲	法国	France	阿朗松	Alencon	48.43333	0.08333
FR3399001	欧洲	法国	France	昂贝略	Ambérieu-en-Bugey	46	5.3
FR3036281	欧洲	法国	France	欧什	Auch	43.65	0.58333
FR3036016	欧洲	法国	France	欧里亚克	Aurillac	44.91667	2.45
FR3035843	欧洲	法国	France	欧塞尔	Auxerre	47.8	3.56667
FR3035681	欧洲	法国	France	阿维尼翁	Avignon	43.94834	4.80892
FR3035649	欧洲	法国	France	阿沃德	Avord	47.03514	2.65295
FR3031582	欧洲	法国	France	波尔多	Bordeaux	44.84044	-0.5805
FR3034640	欧洲	法国	France	巴斯蒂亚	Bastia	42.70278	9.45
FR3033391	欧洲	法国	France	贝尔热拉克	Bergerac	44.85	0.48333
FR3033123	欧洲	法国	France	贝桑松	Besancon	47.24878	6.01815
FR3032833	欧洲	法国	France	贝济耶	Beziers	43.34762	3.21899
FR3399002	欧洲	法国	France	比斯卡罗斯	Biscarrosse	44.4	-1.2000122
FR3032213	欧洲	法国	France	布洛瓦	Blois	47.58333	1.33333
FR3399003	欧洲	法国	France	布伦	Boulogne-sur-Mer	50.7	1.6
FR3031005	欧洲	法国	France	布尔日	Bourges	47.08333	2.4
FR3030300	欧洲	法国	France	布雷斯特	Brest	48.4	-4.48333
FR3399004	欧洲	法国	France	布里诺冈	Brignogan-Plages	48.7	-4.299988
FR3399005	欧洲	法国	France	布里夫拉盖亚尔德	Brive-la-Gaillarde	45.1	1.5
FR3029241	欧洲	法国	France	卡昂	Caen	49.18585	-0.35912
FR3029090	欧洲	法国	France	卡尔维	Calvi	42.56604	8.75713
FR3028808	欧洲	法国	France	戛纳	Cannes	43.55135	7.01275
FR3028641	欧洲	法国	France	卡尔卡松	Carcassonne	43.21667	2.35
FR3028542	欧洲	法国	France	卡庞特拉	Carpentras	44.05	5.05
FR3026467	欧洲	法国	France	沙特尔	Chartres	48.44685	1.48925
FR3026285	欧洲	法国	France	查特顿	Chateaudun	48.08333	1.33333
FR3399006	欧洲	法国	France	克莱蒙费朗	Clermont-Ferrand	45.8	3.2
FR3022610	欧洲	法国	France	克雷伊	Creil	49.25672	2.48477
FR3021670	欧洲	法国	France	达克斯	Dax	43.71032	-1.05366
FR3021411	欧洲	法国	France	迪耶普	Dieppe	49.93333	1.08333
FR3021372	欧洲	法国	France	第戎	Dijon	47.31667	5.01667
FR3021351	欧洲	法国	France	迪纳尔	Dinard	48.63143	-2.06144
FR3020686	欧洲	法国	France	敦刻尔克	Dunkerque	51.05	2.36667
FR3020251	欧洲	法国	France	昂布伦	Embrun	44.56387	6.49526
FR3399007	欧洲	法国	France	菲加里	Figari	41.5	9.1
FR3015546	欧洲	法国	France	古尔东	Gourdon	44.73333	1.38333
FR3012937	欧洲	法国	France	耶尔	Hyeres	43.11954	6.13897
FR3012647	欧洲	法国	France	伊斯特	Istres	43.51667	4.98333
FR3007680	欧洲	法国	France	朗格勒	Langres	47.86667	5.33333
FR3007609	欧洲	法国	France	拉尼永	Lannion	48.73333	-3.46667
FR3399008	欧洲	法国	France	勒布尔热	Lebourget	49	2.4
FR3399009	欧洲	法国	France	勒芒	Lemans	47.9	0.2
FR3399010	欧洲	法国	France	勒皮	Le Puy-en-Velay	45.1	3.8
FR3399011	欧洲	法国	France	勒图凯	Letouquet	50.5	1.6
FR2999046	欧洲	法国	France	吕卡特港	Leucate	42.91056	3.02944
FR3399012	欧洲	法国	France	里尔·莱斯坎	Lille Lesquin	50.6	3.1
